School Name,School PID,Address Street,Address City,Address State,Address ZIP,District PID
Douglas Elementary School,IL00288513,905 E Main St,Clinton,IL,61727,a00j0000005DmupAAC
Lincoln Elementary School,IL00288549,407 S Jackson St,Clinton,IL,61727,a00j0000005DmupAAC
Clinton Elementary School,IL00288537,411 N Mulberry St,Clinton,IL,61727,a00j0000005DmupAAC
Clinton Junior High School,IL00288501,701 Illini Dr,Clinton,IL,61727,a00j0000005DmupAAC
Clinton High School,IL00288496,1200 State Route 54 W,Clinton,IL,61727,a00j0000005DmupAAC
